Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,ID
Keon Johnson,2022,2022,G,6’5,186,"March 10, 2002",Tennessee,"Keon JohnsonMarch 10, 2002"
Kermit Washington,1974,1988,F-C,6’8,230,September 17 1951,American University,Kermit WashingtonSeptember 17 1951
Kerry Kittles,1997,2005,G,6’5,179,June 12 1974,Villanova,Kerry KittlesJune 12 1974
Kessler Edwards,2022,2022,F,6’8,215,"August 9, 2000",Pepperdine,"Kessler EdwardsAugust 9, 2000"
Kevin Brooks,1992,1994,F,6’6,200,"October 12, 1969",Louisiana,"Kevin BrooksOctober 12, 1969"
Kevin Burleson,2006,2006,G,6’3,205,"September 4, 1979",Minnesota,"Kevin BurlesonSeptember 4, 1979"
Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University,"Kevin DuckworthApril 1, 1964"
Kevin Durant,2008,2022,F-G,6’10,240,"September 29, 1988",Texas,"Kevin DurantSeptember 29, 1988"
Kevin Edwards,1989,2001,G,6’3,190,"October 30, 1965",DePaul,"Kevin EdwardsOctober 30, 1965"
Kevin Gamble,1988,1997,F-G,6’5,210,"November 13, 1965",Iowa,"Kevin GambleNovember 13, 1965"
Kevin Garnett,1996,2016,F-C,6’11,240,"May 19, 1976",,"Kevin Garnett*May 19, 1976"
Kevin Grevey,1976,1985,G-F,6’5,210,"May 12, 1953",Kentucky,"Kevin GreveyMay 12, 1953"
Kevin Henderson,1987,1988,G,6’4,195,"March 22, 1964",Cal State Fullerton,"Kevin HendersonMarch 22, 1964"
Kevin Hervey,2020,2020,F,6’9,230,July 9 1996,UT Arlington,Kevin HerveyJuly 9 1996
Kevin Huerter,2019,2022,G,6’7,190,"August 27, 1998",Maryland,"Kevin HuerterAugust 27, 1998"
Kevin Johnson,1988,2000,G,6’1,180,"March 4, 1966",California,"Kevin JohnsonMarch 4, 1966"
Kevin Jones,2013,2013,F,6’8,251,"August 25, 1989",West Virginia,"Kevin JonesAugust 25, 1989"
Kevin Joyce,1974,1976,G,6’3,190,June 27 1951,South Carolina,Kevin JoyceJune 27 1951
Kevin Knox,2019,2022,F,6’7,215,"August 11, 1999",Kentucky,"Kevin KnoxAugust 11, 1999"
Kevin Kunnert,1974,1982,C-F,7-0,230,"November 11, 1951",Iowa,"Kevin KunnertNovember 11, 1951"
Kevin Loder,1982,1984,F-G,6’6,205,"March 15, 1959",Kentucky State University Alabama State University,"Kevin LoderMarch 15, 1959"
Kevin Loughery,1963,1973,G,6’3,190,"March 28, 1940",Boston College St. John's,"Kevin LougheryMarch 28, 1940"
Kevin Love,2009,2022,F,6’8,251,"September 7, 1988",UCLA,"Kevin LoveSeptember 7, 1988"
Kevin Lynch,1992,1993,G-F,6’5,195,"December 24, 1968",Minnesota,"Kevin LynchDecember 24, 1968"
Kevin Martin,2005,2016,G,6’7,199,"February 1, 1983",Western Carolina University,"Kevin MartinFebruary 1, 1983"
Kevin McHale,1981,1993,F-C,6’10,210,"December 19, 1957",Minnesota,"Kevin McHale*December 19, 1957"
Kevin McKenna,1982,1988,G-F,6’5,195,"January 8, 1959",Creighton,"Kevin McKennaJanuary 8, 1959"
Kevin Murphy,2013,2013,G,6’5,185,"March 6, 1990",Tennessee Technological University,"Kevin MurphyMarch 6, 1990"
Kevin Ollie,1998,2010,G,6’4,195,"December 27, 1972",UConn,"Kevin OllieDecember 27, 1972"
Kevin O'Shea,1951,1953,G,6’2,175,July 10 1925,Notre Dame,Kevin O'SheaJuly 10 1925
Kevin Pangos,2022,2022,G,6’2,179,"January 26, 1993",Gonzaga,"Kevin PangosJanuary 26, 1993"
Kevin Porter,1973,1983,G,6’0,170,"April 17, 1950",Saint Francis University,"Kevin PorterApril 17, 1950"
Kevin Porter Jr.,2020,2022,G,6’4,203,"May 4, 2000",USC,"Kevin Porter Jr.May 4, 2000"
Kevin Pritchard,1991,1996,G,6’3,180,July 17 1967,Kansas,Kevin PritchardJuly 17 1967
Kevin Restani,1975,1982,F-C,6’9,225,"December 23, 1951",San Francisco,"Kevin RestaniDecember 23, 1951"
Kevin Salvadori,1997,1998,C,7-0,231,"December 30, 1970",UNC,"Kevin SalvadoriDecember 30, 1970"
Kevin Séraphin,2011,2017,F,6’9,285,"December 7, 1989",,"Kevin SéraphinDecember 7, 1989"
Kevin Stacom,1975,1982,G,6’3,185,"September 4, 1951",Holy Cross Providence,"Kevin StacomSeptember 4, 1951"
Kevin Thompson,1994,1994,C-F,6’11,260,"February 7, 1971",NC State,"Kevin ThompsonFebruary 7, 1971"
Kevin Williams,1984,1989,G,6’2,175,September 11 1961,TCU St. John's,Kevin WilliamsSeptember 11 1961
Kevin Willis,1985,2007,F-C,7-0,220,"September 6, 1962",Michigan State,"Kevin WillisSeptember 6, 1962"
Kevinn Pinkney,2007,2007,F,6’10,245,"October 20, 1983",Nevada,"Kevinn PinkneyOctober 20, 1983"
Kevon Looney,2016,2022,F-C,6’9,222,"February 6, 1996",UCLA,"Kevon LooneyFebruary 6, 1996"
Keyon Dooling,2001,2013,G,6’3,196,"May 8, 1980",Missouri,"Keyon DoolingMay 8, 1980"
Khalid El-Amin,2001,2001,G,5’10,200,"April 25, 1979",UConn,"Khalid El-AminApril 25, 1979"
Khalid Reeves,1995,2000,G,6’3,199,July 15 1972,Arizona,Khalid ReevesJuly 15 1972
Khem Birch,2018,2022,C-F,6’9,233,"September 28, 1992",Pitt UNLV,"Khem BirchSeptember 28, 1992"
Khris Middleton,2013,2022,F-G,6’7,222,"August 12, 1991",Texas A&M,"Khris MiddletonAugust 12, 1991"
Khyri Thomas,2019,2021,G,6’3,210,"May 8, 1996",Creighton,"Khyri ThomasMay 8, 1996"
Kiki Vandeweghe,1981,1993,F,6’8,220,"August 1, 1958",UCLA,"Kiki VandewegheAugust 1, 1958"
Killian Hayes,2021,2022,G,6’5,195,July 27 2001,,Killian HayesJuly 27 2001
Killian Tillie,2021,2022,F,6’9,220,"March 5, 1998",Gonzaga,"Killian TillieMarch 5, 1998"
Kim Anderson,1979,1979,F,6’7,200,"May 12, 1955",Missouri,"Kim AndersonMay 12, 1955"
Kim English,2013,2013,G,6’6,200,"September 24, 1988",Missouri,"Kim EnglishSeptember 24, 1988"
Kim Hughes,1976,1981,C,6’11,220,June 4 1952,Wisconsin,Kim HughesJune 4 1952
Kira Lewis Jr.,2021,2022,G,6’1,170,"April 6, 2001",Alabama,"Kira Lewis Jr.April 6, 2001"
Kirk Haston,2002,2003,F,6’9,242,"March 10, 1979",Indiana,"Kirk HastonMarch 10, 1979"
Kirk Hinrich,2004,2016,G,6’4,190,"January 2, 1981",Kansas,"Kirk HinrichJanuary 2, 1981"
Kirk Penney,2004,2005,G,6’5,220,"November 23, 1980",Wisconsin,"Kirk PenneyNovember 23, 1980"
Kirk Snyder,2005,2008,G,6’6,225,June 5 1983,Nevada,Kirk SnyderJune 5 1983
Kiwane Lemorris Garris,1998,2000,G,6’2,183,"September 24, 1974",Illinois,"Kiwane Lemorris GarrisSeptember 24, 1974"
Klay Thompson,2012,2022,G-F,6’6,215,"February 8, 1990",Washington State,"Klay ThompsonFebruary 8, 1990"
Kleggie Hermsen,1947,1953,C-F,6’9,225,"March 12, 1923",Minnesota,"Kleggie HermsenMarch 12, 1923"
Kobe Bryant,1997,2016,G-F,6’6,212,"August 23, 1978",,"Kobe Bryant*August 23, 1978"
Kobi Simmons,2018,2019,G,6’5,166,July 4 1997,Arizona,Kobi SimmonsJuly 4 1997
Korleone Young,1999,1999,F,6’7,213,"December 31, 1978",,"Korleone YoungDecember 31, 1978"
Kornél Dávid,1999,2001,F,6’9,235,"October 22, 1971",,"Kornél DávidOctober 22, 1971"
Kosta Koufos,2009,2019,C,7-0,245,"February 24, 1989",Ohio State,"Kosta KoufosFebruary 24, 1989"
Kosta Perovi?,2008,2008,C,7’2,240,"February 19, 1985",,"Kosta Perovi?February 19, 1985"
Kostas Antetokounmpo,2019,2021,F,6’10,200,"November 20, 1997",Dayton,"Kostas AntetokounmpoNovember 20, 1997"
Kostas Papanikolaou,2015,2016,F,6’8,225,July 31 1990,,Kostas PapanikolaouJuly 31 1990
Kris Dunn,2017,2022,G,6’3,205,"March 18, 1994",Providence,"Kris DunnMarch 18, 1994"
Kris Humphries,2005,2017,F-C,6’9,235,"February 6, 1985",Minnesota,"Kris HumphriesFebruary 6, 1985"
Kris Joseph,2013,2013,F,6’7,210,"December 17, 1988",Syracuse,"Kris JosephDecember 17, 1988"
Kristaps Porzi??is,2016,2022,F-C,7’3,240,"August 2, 1995",,"Kristaps Porzi??isAugust 2, 1995"
Kurk Lee,1991,1991,G,6’3,190,June 3 1967,Western Kentucky Towson University,Kurk LeeJune 3 1967
Kurt Nimphius,1982,1990,C-F,6’10,218,"March 13, 1958",Arizona State,"Kurt NimphiusMarch 13, 1958"
Kurt Rambis,1982,1995,F,6’8,213,"February 25, 1958",Santa Clara,"Kurt RambisFebruary 25, 1958"
Kurt Thomas,1996,2013,F,6’9,230,"October 4, 1972",TCU,"Kurt ThomasOctober 4, 1972"
Kwame Brown,2002,2013,F,6’11,270,"March 10, 1982",,"Kwame BrownMarch 10, 1982"
Ky Bowman,2020,2020,G,6’1,187,June 16 1997,Boston College,Ky BowmanJune 16 1997
Kyle Alexander,2020,2020,F,6’11,220,"October 21, 1996",Tennessee,"Kyle AlexanderOctober 21, 1996"
Kyle Anderson,2015,2022,F-G,6’9,230,September 20 1993,UCLA,Kyle AndersonSeptember 20 1993
Kyle Collinsworth,2018,2018,G-F,6’6,210,"October 3, 1991",BYU,"Kyle CollinsworthOctober 3, 1991"
Kyle Guy,2020,2022,G,6’1,167,"August 11, 1997",Virginia,"Kyle GuyAugust 11, 1997"
Kyle Korver,2004,2020,G-F,6’7,212,"March 17, 1981",Creighton,"Kyle KorverMarch 17, 1981"
Kyle Kuzma,2018,2022,F,6’9,221,July 24 1995,Utah,Kyle KuzmaJuly 24 1995
Kyle Lowry,2007,2022,G,6’0,196,"March 25, 1986",Villanova,"Kyle LowryMarch 25, 1986"
Kyle Macy,1981,1987,G,6’3,175,"April 9, 1957",Purdue Kentucky,"Kyle MacyApril 9, 1957"
Kyle O'Quinn,2013,2020,F-C,6’9,250,"March 26, 1990",Norfolk State,"Kyle O'QuinnMarch 26, 1990"
Kyle Singler,2013,2018,F,6’8,228,"May 4, 1988",Duke,"Kyle SinglerMay 4, 1988"
Kyle Weaver,2009,2011,G,6’6,201,"February 18, 1986",Washington State,"Kyle WeaverFebruary 18, 1986"
Kyle Wiltjer,2017,2017,F,6’10,240,"October 20, 1992",Kentucky Gonzaga,"Kyle WiltjerOctober 20, 1992"
Kyrie Irving,2012,2022,G,6’2,195,"March 23, 1992",Duke,"Kyrie IrvingMarch 23, 1992"
KZ Okpala,2020,2022,F,6’8,215,"April 28, 1999",Stanford,"KZ OkpalaApril 28, 1999"
LaBradford Smith,1992,1994,G,6’3,200,"April 3, 1969",Louisville,"LaBradford SmithApril 3, 1969"
Lamar Green,1970,1975,F-C,6’7,210,"March 22, 1947",Morehead State University,"Lamar GreenMarch 22, 1947"
Lamar Odom,2000,2013,F,6’10,220,"November 6, 1979",Rhode Island,"Lamar OdomNovember 6, 1979"
Lamar Patterson,2016,2017,G-F,6’5,225,"August 12, 1991",Pitt,"Lamar PattersonAugust 12, 1991"
Lamar Stevens,2021,2022,F,6’6,230,July 9 1997,Penn State,Lamar StevensJuly 9 1997
LaMarcus Aldridge,2007,2022,F-C,6’11,250,July 19 1985,Texas,LaMarcus AldridgeJuly 19 1985
LaMelo Ball,2021,2022,G,6’7,180,"August 22, 2001",,"LaMelo BallAugust 22, 2001"
Lamond Murray,1995,2006,F,6’7,236,"April 20, 1973",California,"Lamond MurrayApril 20, 1973"
Lamont Strothers,1992,1993,G,6’4,190,"May 10, 1968",Christopher Newport University,"Lamont StrothersMay 10, 1968"
Lanard Copeland,1990,1992,G,6’6,190,July 16 1965,Georgia State University,Lanard CopelandJuly 16 1965
Lancaster Gordon,1985,1988,G,6’3,185,June 24 1962,Louisville,Lancaster GordonJune 24 1962
Lance Allred,2008,2008,C,6’11,250,"February 2, 1981",Utah Weber State,"Lance AllredFebruary 2, 1981"
Lance Blanks,1991,1993,G,6’4,190,"September 9, 1966",Virginia Texas,"Lance BlanksSeptember 9, 1966"
Lance Stephenson,2011,2022,G-F,6’6,230,"September 5, 1990",Cincinnati,"Lance StephensonSeptember 5, 1990"
Lance Thomas,2012,2020,F,6’8,240,"April 24, 1988",Duke,"Lance ThomasApril 24, 1988"
Landry Shamet,2019,2022,G,6’4,190,"March 13, 1997",Wichita State,"Landry ShametMarch 13, 1997"
Langston Galloway,2015,2022,G,6’1,200,"December 9, 1991",Saint Joseph's,"Langston GallowayDecember 9, 1991"
LaPhonso Ellis,1993,2003,F,6’8,240,"May 5, 1970",Notre Dame,"LaPhonso EllisMay 5, 1970"
Lari Ketner,2000,2001,F-C,6’9,277,"February 1, 1977",UMass,"Lari KetnerFebruary 1, 1977"
Laron Profit,2000,2006,G-F,6’5,204,"August 5, 1977",Maryland,"Laron ProfitAugust 5, 1977"
Larry Bergh,1970,1970,F,6’8,210,"April 2, 1945",Weber State,"Larry BerghApril 2, 1945"
Larry Bird,1980,1992,F,6’9,220,"December 7, 1956",Indiana State University,"Larry Bird*December 7, 1956"
Larry Brown,1968,1972,G,5’9,160,September 14 1940,UNC,Larry Brown*September 14 1940
Larry Bunce,1968,1969,C,7-0,240,July 29 1945,Utah State University,Larry BunceJuly 29 1945
Larry Cannon,1970,1974,G,6’4,195,"April 12, 1947",La Salle,"Larry CannonApril 12, 1947"
Larry Comley,1964,1964,G,6’5,210,"August 17, 1939",Kansas State,"Larry ComleyAugust 17, 1939"
Larry Conley,1968,1968,G,6’3,175,"January 22, 1944",Kentucky,"Larry ConleyJanuary 22, 1944"
Larry Costello,1955,1968,G,6’1,186,July 2 1931,Niagara University,Larry Costello*July 2 1931
Larry Demic,1980,1982,F-C,6’9,225,June 27 1957,Arizona,Larry DemicJune 27 1957
Larry Drew,1981,1991,G,6’1,170,"April 2, 1958",Missouri,"Larry DrewApril 2, 1958"
Larry Drew II,2015,2018,G,6’2,180,"March 5, 1990",UNC UCLA,"Larry Drew IIMarch 5, 1990"
Larry Hennessy,1956,1957,G,6’3,185,"May 20, 1929",Villanova,"Larry HennessyMay 20, 1929"
Larry Hughes,1999,2012,G,6’5,184,"January 23, 1979",Saint Louis,"Larry HughesJanuary 23, 1979"
Larry Johnson,1978,1978,G,6’3,205,"November 28, 1954",Kentucky,"Larry JohnsonNovember 28, 1954"
Larry Johnson,1992,2001,F,6’6,250,"March 14, 1969",UNLV,"Larry JohnsonMarch 14, 1969"
Larry Jones,1965,1974,G-F,6’2,180,September 22 1942,Toledo,Larry JonesSeptember 22 1942
Larry Kenon,1974,1983,F,6’9,205,"December 13, 1952",Memphis,"Larry KenonDecember 13, 1952"
Larry Krystkowiak,1987,1997,F-C,6’9,220,September 23 1964,Montana,Larry KrystkowiakSeptember 23 1964
Larry McNeill,1974,1979,F-C,6’9,195,"January 31, 1951",Marquette,"Larry McNeillJanuary 31, 1951"
Larry Micheaux,1984,1985,F,6’9,220,"March 24, 1960",Houston,"Larry MicheauxMarch 24, 1960"
Larry Mikan,1971,1971,F,6’7,210,"April 8, 1948",Minnesota,"Larry MikanApril 8, 1948"
Larry Miller,1969,1975,G-F,6’4,190,"April 4, 1946",UNC,"Larry MillerApril 4, 1946"
Larry Moffett,1978,1978,F,6’8,210,"November 5, 1954",UNLV,"Larry MoffettNovember 5, 1954"
Larry Moore,1968,1968,F,6’7,215,July 10 1942,Florida State,Larry MooreJuly 10 1942
Larry Nance,1982,1994,F-C,6’10,205,"February 12, 1959",Clemson,"Larry NanceFebruary 12, 1959"
Larry Nance Jr.,2016,2022,F-C,6’7,245,"January 1, 1993",Wyoming,"Larry Nance Jr.January 1, 1993"
Larry Owens,2011,2012,F,6’7,210,"January 8, 1983",Oral Roberts,"Larry OwensJanuary 8, 1983"
Larry Robinson,1991,2002,F-G,6’3,180,"January 11, 1968",Centenary (LA),"Larry RobinsonJanuary 11, 1968"
Larry Sanders,2011,2017,C-F,6’11,235,"November 21, 1988",VCU,"Larry SandersNovember 21, 1988"
Larry Siegfried,1964,1972,F,6’3,190,"May 22, 1939",Ohio State,"Larry SiegfriedMay 22, 1939"
Larry Smith,1981,1993,F-C,6’8,215,"January 18, 1958",Alcorn State,"Larry SmithJanuary 18, 1958"
Larry Spriggs,1982,1986,F,6’7,230,"September 8, 1959",Howard University,"Larry SpriggsSeptember 8, 1959"
Larry Staverman,1959,1964,F,6’7,205,"October 11, 1936",Thomas More College,"Larry StavermanOctober 11, 1936"
Larry Steele,1972,1980,G-F,6’5,180,"May 5, 1949",Kentucky,"Larry SteeleMay 5, 1949"
Larry Stewart,1992,1997,F,6’8,220,September 21 1968,Coppin State University,Larry StewartSeptember 21 1968
Larry Sykes,1996,1996,F,6’9,255,"April 11, 1973",Xavier,"Larry SykesApril 11, 1973"
Larry Wright,1977,1982,G,6’1,160,"November 23, 1954",Grambling State University,"Larry WrightNovember 23, 1954"
Lars Hansen,1979,1979,C,6’10,225,September 14 1954,Washington,Lars HansenSeptember 14 1954
LaRue Martin,1973,1976,C,6’11,208,"March 30, 1950",Loyola Chicago,"LaRue MartinMarch 30, 1950"
LaSalle Thompson,1983,1997,C-F,6’10,245,June 23 1961,Texas,LaSalle ThompsonJune 23 1961
Latrell Sprewell,1993,2005,G,6’5,190,"September 8, 1970",Alabama,"Latrell SprewellSeptember 8, 1970"
Lauri Markkanen,2018,2022,F-C,7-0,240,"May 22, 1997",Arizona,"Lauri MarkkanenMay 22, 1997"
Lavor Postell,2001,2003,G,6’5,215,"February 26, 1978",St. John's,"Lavor PostellFebruary 26, 1978"
Lavoy Allen,2012,2017,F-C,6’9,260,"February 4, 1989",Temple,"Lavoy AllenFebruary 4, 1989"
Lawrence Boston,1980,1980,F,6’8,225,"May 18, 1956",Vincennes University Maryland,"Lawrence BostonMay 18, 1956"
Lawrence Moten,1996,1998,G,6’5,185,"March 25, 1972",Syracuse,"Lawrence MotenMarch 25, 1972"
Lawrence Roberts,2006,2007,F,6’9,240,"October 20, 1982",Baylor Mississippi State,"Lawrence RobertsOctober 20, 1982"
Lazar Hayward,2011,2013,F,6’6,225,"November 26, 1986",Marquette,"Lazar HaywardNovember 26, 1986"
Lazaro Borrell,2000,2000,F,6’8,220,September 20 1972,,Lazaro BorrellSeptember 20 1972
Leandro Barbosa,2004,2017,G,6’3,194,"November 28, 1982",,"Leandro BarbosaNovember 28, 1982"
Leandro Bolmaro,2022,2022,F,6’6,200,September 11 2000,,Leandro BolmaroSeptember 11 2000
Leary Lentz,1968,1969,F,6’6,200,"February 23, 1945",Houston,"Leary LentzFebruary 23, 1945"
LeBron James,2004,2022,F-G,6’9,250,"December 30, 1984",,"LeBron JamesDecember 30, 1984"
Ledell Eackles,1989,1998,G-F,6’5,220,"November 24, 1966",New Orleans,"Ledell EacklesNovember 24, 1966"
Lee Davis,1969,1976,C-F,6’8,235,"October 11, 1945",NC Central,"Lee DavisOctober 11, 1945"
Lee Johnson,1981,1981,F,6’11,205,June 16 1957,Montana Texas A&M University-Commerce,Lee JohnsonJune 16 1957
Lee Knorek,1947,1950,C,6’7,215,July 15 1921,Detroit Mercy,Lee KnorekJuly 15 1921
Lee Mayberry,1993,1999,G,6’1,172,June 12 1970,Arkansas,Lee MayberryJune 12 1970
Lee Nailon,2001,2006,F,6’9,238,"February 22, 1975",Butler County Community College TCU,"Lee NailonFebruary 22, 1975"
Lee Robbins,1948,1949,F,6’3,175,"February 11, 1922",Colorado,"Lee RobbinsFebruary 11, 1922"
Lee Shaffer,1962,1964,F,6’7,220,"February 23, 1939",UNC,"Lee ShafferFebruary 23, 1939"
Lee Winfield,1970,1976,G,6’2,174,"February 4, 1947",University of North Texas,"Lee WinfieldFebruary 4, 1947"
Leland Mitchell,1968,1968,G,6’4,210,"February 22, 1941",Mississippi State,"Leland MitchellFebruary 22, 1941"
Len Chappell,1963,1972,F-C,6’8,240,"January 31, 1941",Wake Forest,"Len ChappellJanuary 31, 1941"
Len Elmore,1975,1984,C-F,6’9,220,"March 28, 1952",Maryland,"Len ElmoreMarch 28, 1952"
Len Kosmalski,1975,1976,C,7-0,245,"November 29, 1951",Tennessee,"Len KosmalskiNovember 29, 1951"
Lennie Rosenbluth,1958,1959,F,6’4,190,"January 22, 1933",UNC,"Lennie RosenbluthJanuary 22, 1933"
Lenny Wilkens,1961,1975,G,6’1,180,"October 28, 1937",Providence,"Lenny Wilkens*October 28, 1937"
Leo Barnhorst,1950,1954,F-G,6’4,190,"May 11, 1924",Notre Dame,"Leo BarnhorstMay 11, 1924"
Leo Gottlieb,1947,1948,G,5’11,180,"November 28, 1920",,"Leo GottliebNovember 28, 1920"
Leo Katkaveck,1949,1950,G,6’0,185,"April 17, 1923",NC State,"Leo KatkaveckApril 17, 1923"
Leo Klier,1949,1950,F-G,6’2,170,"May 21, 1923",Notre Dame,"Leo KlierMay 21, 1923"
Leo Kubiak,1950,1950,G,5’11,160,"December 25, 1927",Bowling Green,"Leo KubiakDecember 25, 1927"
Leo Mogus,1947,1951,F-C,6’4,190,"April 13, 1921",Youngstown State University,"Leo MogusApril 13, 1921"
Leo Rautins,1984,1985,F,6’8,215,"March 20, 1960",Minnesota Syracuse,"Leo RautinsMarch 20, 1960"
Leon Benbow,1975,1976,G,6’4,185,July 23 1950,Jacksonville University,Leon BenbowJuly 23 1950
Leon Blevins,1951,1951,G,6’2,160,June 25 1926,Arizona,Leon BlevinsJune 25 1926
Leon Brown,1947,1947,F,6’3,190,"October 12, 1919",Wyoming,"Leon BrownOctober 12, 1919"
Leon Douglas,1977,1983,C-F,6’10,230,"August 26, 1954",Alabama,"Leon DouglasAugust 26, 1954"
Leon Powe,2007,2011,F,6’8,240,"January 22, 1984",California,"Leon PoweJanuary 22, 1984"
Leon Smith,2002,2004,C,6’10,235,"November 2, 1980",,"Leon SmithNovember 2, 1980"
Leon Wood,1985,1991,G,6’3,185,"March 25, 1962",Arizona Cal State Fullerton,"Leon WoodMarch 25, 1962"
Leonard Gray,1975,1977,F,6’8,240,"December 19, 1951",Cal State Long Beach,"Leonard GrayDecember 19, 1951"
Leonard Taylor,1990,1990,F,6’8,220,"May 2, 1966",California,"Leonard TaylorMay 2, 1966"
LeRon Ellis,1992,1996,F-C,6’9,225,"April 28, 1969",Kentucky Syracuse,"LeRon EllisApril 28, 1969"
Leroy Chollet,1950,1951,F,6’2,190,"March 5, 1925",Canisius,"Leroy CholletMarch 5, 1925"
Leroy Combs,1984,1984,F,6’8,210,"January 1, 1961",Oklahoma State,"Leroy CombsJanuary 1, 1961"
Leroy Ellis,1963,1976,C-F,6’10,210,"March 10, 1940",St. John's,"Leroy EllisMarch 10, 1940"
Leroy Wright,1968,1969,F,6’9,215,"May 6, 1938",University of the Pacific,"Leroy WrightMay 6, 1938"
Les Hunter,1965,1973,F-C,6’7,210,"August 16, 1942",Loyola Chicago,"Les HunterAugust 16, 1942"
Les Jepsen,1991,1992,C,7-0,237,June 24 1967,Iowa,Les JepsenJune 24 1967
Les Pugh,1949,1950,C-F,6’7,190,September 18 1922,Ohio State,Les PughSeptember 18 1922
Lester Conner,1983,1995,G,6’4,180,September 17 1959,Oregon State,Lester ConnerSeptember 17 1959
Lester Hudson,2010,2015,G,6’3,190,"August 7, 1984",University of Tennessee at Martin,"Lester HudsonAugust 7, 1984"
Lester Selvage,1968,1970,G,6’1,175,"March 7, 1943",Truman State University,"Lester SelvageMarch 7, 1943"
Levern Tart,1968,1971,G-F,6’2,195,June 1 1942,Bradley,Levern TartJune 1 1942
Lew Hitch,1952,1957,F-C,6’8,200,July 16 1929,Kansas State,Lew HitchJuly 16 1929
Lewis Brown,1981,1981,C,6’11,225,"February 19, 1955",UNLV,"Lewis BrownFebruary 19, 1955"
Lewis Lloyd,1982,1990,G-F,6’6,205,"February 22, 1959",Drake University,"Lewis LloydFebruary 22, 1959"
Linas Kleiza,2006,2013,F,6’8,245,"January 3, 1985",Missouri,"Linas KleizaJanuary 3, 1985"
Lindell Wigginton,2022,2022,G,6’2,189,"March 28, 1998",Iowa State,"Lindell WiggintonMarch 28, 1998"
Lindsay Hairston,1976,1976,F-C,6’7,180,"December 8, 1951",Michigan State,"Lindsay HairstonDecember 8, 1951"
Lindsey Hunter,1994,2010,G,6’2,170,"December 3, 1970",Alcorn State Jackson State University,"Lindsey HunterDecember 3, 1970"
Lindy Waters III,2022,2022,G,6’6,215,July 28 1997,Oklahoma State,Lindy Waters IIIJuly 28 1997
Linton Johnson,2004,2009,F,6’8,205,June 13 1980,Tulane,Linton JohnsonJune 13 1980
Linton Townes,1983,1985,F-G,6’7,190,"November 30, 1959",James Madison University,"Linton TownesNovember 30, 1959"
Lionel Billingy,1975,1975,F-C,6’9,215,"August 31, 1952",Duquesne,"Lionel BillingyAugust 31, 1952"
Lionel Chalmers,2005,2005,G,6’0,180,"November 10, 1980",Xavier,"Lionel ChalmersNovember 10, 1980"
Lionel Hollins,1976,1985,G,6’3,185,"October 19, 1953",Arizona State,"Lionel HollinsOctober 19, 1953"
Lionel Malamed,1949,1949,G,5’9,150,"November 15, 1924",City College of New York,"Lionel MalamedNovember 15, 1924"
Lionel Simmons,1991,1997,F-G,6’7,210,"November 14, 1968",La Salle,"Lionel SimmonsNovember 14, 1968"
Litterial Green,1993,1999,G,6’1,185,"March 7, 1970",Georgia,"Litterial GreenMarch 7, 1970"
Lloyd Batts,1975,1975,G-F,6’4,185,"May 9, 1951",Cincinnati,"Lloyd BattsMay 9, 1951"
Lloyd Daniels,1993,1998,G,6’7,205,"September 4, 1967",Mount San Antonio College,"Lloyd DanielsSeptember 4, 1967"
Lloyd Neal,1973,1979,C-F,6’7,225,"December 10, 1950",Tennessee State,"Lloyd NealDecember 10, 1950"
Lloyd Walton,1977,1981,G,6’0,160,"November 23, 1953",Marquette,"Lloyd WaltonNovember 23, 1953"
Logan Vander Velden,1996,1996,F,6’8,215,"April 3, 1971",Green Bay,"Logan Vander VeldenApril 3, 1971"
London Perrantes,2018,2018,G,6’2,200,"October 3, 1994",Virginia,"London PerrantesOctober 3, 1994"
Lonnie Eggleston,1949,1949,G,6’0,170,June 8 1918,Oklahoma State,Lonnie EgglestonJune 8 1918
Lonnie Kluttz,1971,1971,F,6’7,220,September 17 1945,North Carolina A&T,Lonnie KluttzSeptember 17 1945
Lonnie Lynn,1970,1970,F,6’7,215,"May 24, 1943",Wilberforce University,"Lonnie LynnMay 24, 1943"
Lonnie Shelton,1977,1986,F-C,6’8,240,"October 19, 1955",Oregon State,"Lonnie SheltonOctober 19, 1955"
Lonnie Walker IV,2019,2022,G,6’4,204,"December 14, 1998",Miami (FL),"Lonnie Walker IVDecember 14, 1998"
Lonnie Wright,1968,1972,G,6’2,205,"January 23, 1945",Colorado State,"Lonnie WrightJanuary 23, 1945"
Lonny Baxter,2003,2006,F,6’8,260,"January 27, 1979",Maryland,"Lonny BaxterJanuary 27, 1979"
Lonzo Ball,2018,2022,G,6’6,190,"October 27, 1997",UCLA,"Lonzo BallOctober 27, 1997"
Loren Meyer,1996,1999,C,6’10,257,"December 30, 1972",Iowa State,"Loren MeyerDecember 30, 1972"
Loren Woods,2002,2008,F-C,7’1,245,June 21 1978,Wake Forest Arizona,Loren WoodsJune 21 1978
Lorenzen Wright,1997,2009,F-C,6’11,225,"November 4, 1975",Memphis,"Lorenzen WrightNovember 4, 1975"
Lorenzo Brown,2014,2019,G,6’5,189,"August 26, 1990",NC State,"Lorenzo BrownAugust 26, 1990"
Lorenzo Charles,1986,1986,F,6’7,225,"November 25, 1963",NC State,"Lorenzo CharlesNovember 25, 1963"
